Fps,Vertices,Metallic,Smoothness,ShallowWaterDepth,DeepWaterDepth,RefractionScale,RefractionSpeed,RefractionStrength,FoamScale,FoamAmount,FoamCutoff,FoamSpeed,NormalWaveBias,BigNormalWaveTiling,SmallNormalWaveTiling,WaveBias,BigWaveMovementScale,SmallWaveMovementScale,WaveSpeed,WaveStrength,WaveColourSharpness,WaveFoamCutoff
109,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,200,1,0.7
107,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,190,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,180,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,170,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,160,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,150,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,140,1,0.7
92,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,130,1,0.7
87,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,120,1,0.7
84,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,110,1,0.7
79,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,100,1,0.7
75,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,90,1,0.7
71,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,80,1,0.7
64,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,70,1,0.7
56,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,60,1,0.7
50,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,50,1,0.7
42,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,40,1,0.7
35,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,30,1,0.7
28,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,20,1,0.7
26,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,160,2,0.1,200,1,0.7
