Fps;Vertices;Metallic;Smoothness;ShallowWaterDepth;DeepWaterDepth;RefractionScale;RefractionSpeed;RefractionStrength;FoamScale;FoamAmount;FoamCutoff;FoamSpeed;NormalWaveBias;BigNormalWaveTiling;SmallNormalWaveTiling;WaveBias;BigWaveMovementScale;SmallWaveMovementScale;WaveSpeed;WaveStrength;WaveColourSharpness;WaveFoamCutoff
112;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;1;2;0.1;1500;1;0.7
112;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;1;2;0.1;1500;1;0.7
101;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;1;2;0.1;1500;1;0.7
95;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;2;2;0.1;1500;1;0.7
109;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;2;2;0.1;1500;1;0.7
111;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;2;2;0.1;1500;1;0.7
103;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;5;2;0.1;1500;1;0.7
103;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;5;2;0.1;1500;1;0.7
108;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;5;2;0.1;1500;1;0.7
101;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;10;2;0.1;1500;1;0.7
109;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;10;2;0.1;1500;1;0.7
111;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;10;2;0.1;1500;1;0.7
106;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;20;2;0.1;1500;1;0.7
106;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;20;2;0.1;1500;1;0.7
109;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;20;2;0.1;1500;1;0.7
103;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;50;2;0.1;1500;1;0.7
105;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;50;2;0.1;1500;1;0.7
105;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;50;2;0.1;1500;1;0.7
112;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;0;2;0.1;1500;1;0.7
112;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;0;2;0.1;1500;1;0.7
110;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0;0;2;0.1;1500;1;0.7
108;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;2;0.1;1500;1;0.7
108;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;2;0.1;1500;1;0.7
108;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;2;0.1;1500;1;0.7
98;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;5;2;0.1;1500;1;0.7
110;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;5;2;0.1;1500;1;0.7
110;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;5;2;0.1;1500;1;0.7
94;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;10;2;0.1;1500;1;0.7
94;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;10;2;0.1;1500;1;0.7
107;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;10;2;0.1;1500;1;0.7
102;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;20;2;0.1;1500;1;0.7
92;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;20;2;0.1;1500;1;0.7
112;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;20;2;0.1;1500;1;0.7
99;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;2;0.1;1500;1;0.7
95;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;2;0.1;1500;1;0.7
109;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;2;0.1;1500;1;0.7
96;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;5;0.1;1500;1;0.7
96;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;5;0.1;1500;1;0.7
108;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;5;0.1;1500;1;0.7
91;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;10;0.1;1500;1;0.7
111;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;10;0.1;1500;1;0.7
111;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;10;0.1;1500;1;0.7
103;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;20;0.1;1500;1;0.7
100;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;20;0.1;1500;1;0.7
110;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;20;0.1;1500;1;0.7
99;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;50;0.1;1500;1;0.7
98;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;50;0.1;1500;1;0.7
98;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;50;50;0.1;1500;1;0.7
105;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;1;0.1;1500;1;0.7
105;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;1;0.1;1500;1;0.7
110;263169;0.75;0.75;5;10;3;0.05;0.5;170;1;2;1;0.5;4;7;0.5;1;1;0.1;1500;1;0.7
