Fps,Vertices,Metallic,Smoothness,ShallowWaterDepth,DeepWaterDepth,RefractionScale,RefractionSpeed,RefractionStrength,FoamScale,FoamAmount,FoamCutoff,FoamSpeed,NormalWaveBias,BigNormalWaveTiling,SmallNormalWaveTiling,WaveBias,BigWaveMovementScale,SmallWaveMovementScale,WaveSpeed,WaveStrength,WaveColourSharpness,WaveFoamCutoff
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,5,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,10,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,15,2,0.1,1500,1,0.7
103,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,20,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,25,2,0.1,1500,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,30,2,0.1,1500,1,0.7
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,35,2,0.1,1500,1,0.7
96,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,40,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,45,2,0.1,1500,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,50,2,0.1,1500,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,55,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,60,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,65,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,70,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,75,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,80,2,0.1,1500,1,0.7
103,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,85,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,90,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,95,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,100,2,0.1,1500,1,0.7
105,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,105,2,0.1,1500,1,0.7
103,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,110,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,115,2,0.1,1500,1,0.7
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,120,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,125,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,130,2,0.1,1500,1,0.7
106,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,135,2,0.1,1500,1,0.7
103,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,140,2,0.1,1500,1,0.7
97,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,145,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,150,2,0.1,1500,1,0.7
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,155,2,0.1,1500,1,0.7
105,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0,160,2,0.1,1500,1,0.7
