Fps,Vertices,Metallic,Smoothness,ShallowWaterDepth,DeepWaterDepth,RefractionScale,RefractionSpeed,RefractionStrength,FoamScale,FoamAmount,FoamCutoff,FoamSpeed,NormalWaveBias,BigNormalWaveTiling,SmallNormalWaveTiling,WaveBias,BigWaveMovementScale,SmallWaveMovementScale,WaveSpeed,WaveStrength,WaveColourSharpness,WaveFoamCutoff
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,5,2,0.1,1500,1,0.7
105,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,10,2,0.1,1500,1,0.7
105,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,15,2,0.1,1500,1,0.7
85,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,20,2,0.1,1500,1,0.7
83,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,25,2,0.1,1500,1,0.7
84,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,30,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,35,2,0.1,1500,1,0.7
95,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,40,2,0.1,1500,1,0.7
98,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,45,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,50,2,0.1,1500,1,0.7
85,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,55,2,0.1,1500,1,0.7
82,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,60,2,0.1,1500,1,0.7
95,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,65,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,70,2,0.1,1500,1,0.7
89,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,75,2,0.1,1500,1,0.7
83,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,80,2,0.1,1500,1,0.7
106,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,85,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,90,2,0.1,1500,1,0.7
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,95,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,100,2,0.1,1500,1,0.7
81,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,105,2,0.1,1500,1,0.7
79,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,110,2,0.1,1500,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,115,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,120,2,0.1,1500,1,0.7
82,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,125,2,0.1,1500,1,0.7
79,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,130,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,135,2,0.1,1500,1,0.7
99,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,140,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,145,2,0.1,1500,1,0.7
102,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,150,2,0.1,1500,1,0.7
83,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,155,2,0.1,1500,1,0.7
83,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,160,2,0.1,1500,1,0.7
86,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,165,2,0.1,1500,1,0.7
106,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,170,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,175,2,0.1,1500,1,0.7
94,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,180,2,0.1,1500,1,0.7
96,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,185,2,0.1,1500,1,0.7
89,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,190,2,0.1,1500,1,0.7
106,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,195,2,0.1,1500,1,0.7
104,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,200,2,0.1,1500,1,0.7
78,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,205,2,0.1,1500,1,0.7
95,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,210,2,0.1,1500,1,0.7
101,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,215,2,0.1,1500,1,0.7
100,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,220,2,0.1,1500,1,0.7
93,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,225,2,0.1,1500,1,0.7
91,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,230,2,0.1,1500,1,0.7
95,263169,0.75,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,235,2,0.1,1500,1,0.7
